LIPID_ID,IL_SMILES,IL_head_id,IL_head_SMILES,Isocyanide_id,Isocyanide_SMILES,Ketone_id,Ketone_SMILES,Carboxylic_acid_id,Carboxylic_SMILES,ARCHITECTURE,REACTION_TYP
LNPhub_2V00000001,CCCCN(CCCC)CCCN(C(=O)C1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2)C(CCCC(=O)OC1CCC[C@@H]2CCCC[C@H]12)(CCCC(=O)OC1CCC[C@@H]2CCCC[C@H]12)C(=O)NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,A34,N(CCCC)(CCCC)CCCN,Is7,NC12C[C@H]3C[C@H](C[C@H](C3)C1)C2,K6,OC8[C@H]9CCCC[C@H]9CCC8,Ac29,C(=O)C1[C@H]2C[C@@H]3C[C@H](C2)C[C@H]1C3,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000002,CCCCCCCCCCCCCC(=O)N(CCCN1CCCCC1CC)C(CCCC(=O)OCC(CCCC)CCCCCC)(CCCC(=O)OCC(CCCC)CCCCCC)C(=O)NCC(=O)OCC,A36,C1(CC)CCCCN1CCCN,Is1,NCC(=O)OCC,K22,OCC(CCCC)CCCCCC,Ac12,C(=O)CCCCCCCCCCCCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000003,C=C1CC[C](OC(=O)CCCC(CCCC(=O)O[C]2CCC(=C)/C(=C\C=C3/CCC[C@]4(C)[C]([C](C)CCCC(C)C)CC[C]34)C2)(C(=O)NCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)N(CCCN(C)CO)C(=O)C(CCCC)CCCC)C/C1=C/C=C1\CCC[C@]2(C)[C]([C](C)CCCC(C)C)CC[C]12,A35,OCN(C)CCCN,Is9,NCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC,K30,O[C@@]1CCC(=C)/C(C1)=C\C=C2/CCC[C@]3(C)[C@]([C@](C)CCCC(C)C)CC[C@@]23,Ac48,C(=O)C(CCCC)CCCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000004,C=C1CC[C](OC(=O)CCCC(CCCC(=O)O[C]2CCC(=C)/C(=C\C=C3/CCC[C@@]4(C)[C]3CC[C]4[C@@H](C)/C=C/[C@H](C)C(C)C)C2)(C(=O)NC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)N(CCCN2CCN(C)CC2)C(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)C/C1=C/C=C1\CCC[C@@]2(C)[C]1CC[C]2[C@@H](C)/C=C/[C@H](C)C(C)C,A3,C1CN(C)CCN1CCCN,Is7,NC12C[C@H]3C[C@H](C[C@H](C3)C1)C2,K29,O[C@@]1CCC(=C)/C(C1)=C\C=C2/CCC[C@@]3(C)[C@]2CC[C@]3[C@@H](C)/C=C/[C@H](C)C(C)C,Ac22,C(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000005,C=C(C)[C]1CC[C](C)C[C]1OC(=O)CCCC(CCCC(=O)O[C]1C[C](C)CC[C]1C(=C)C)(C(=O)NCCCn1cccn1)N(CCN1CCCCC1)C(=O)CCCCCCCCCCCCCC,A19,C1CCCCN1CCN,Is8,NCCCn1nccc1,K9,O[C@@]7[C@@](C(=C)C)CC[C@](C)C7,Ac13,C(=O)CCCCCCCCCCCCCC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000006,CCC(C)(CCCC(C)C)OC(=O)CCCC(CCCC(=O)OC(C)(CC)CCCC(C)C)(C(=O)NCCCn1cccn1)N(CC(C)(C)CN(C)C)C(C)=O,A29,CN(C)CC(C)(C)CN,Is8,NCCCn1nccc1,K24,OC(C)(CC)CCCC(C)C,Ac0,C(=O)C,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000007,CCCCCCCC/C=C\CCCCCCCCN(C(=O)C1CC1)C(CCCC(=O)OC/C=C(\C)CCC=C(C)C)(CCCC(=O)OC/C=C(\C)CCC=C(C)C)C(=O)NC(C)(C)C,A0,N(CCCCCCCC/C=C\CCCCCCCC),Is3,NC(C)(C)C,K15,OC/C=C(C)/CCC=C(C)C,Ac36,C(=O)C8CC8,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000008,CCCCCCOC(=O)CCCC(CCCC(=O)OCCCCCC)(C(=O)NCC(=O)OCC)N(C(=O)C12CC3C[C@@](C)(C1)C[C@](C)(C3)C2)C1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,A7,N(C1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3),Is1,NCC(=O)OCC,K35,OCCCCCC,Ac34,C(=O)C78C[C@]9(C)CC(C7)C[C@](C9)(C)C8,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000009,CC/C=C\CCC(=O)N(C(C)(C)CNCCO)C(CCCC(=O)OCCCCCCCC)(CCCC(=O)OCCCCCCCC)C(=O)NC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,A39,OCCNCC(C)(C)N,Is10,NC1[C@H]2C[C@@H]3C[C@H](C2)C[C@H]1C3,K37,OCCCCCCCC,Ac33,C(=O)CC/C=C\CC,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
LNPhub_2V00000010,CCCN1CCC(CCN(C(=O)C2CC2)C(CCCC(=O)OC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)(CCCC(=O)OC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)C(=O)NCCCn2cccn2)CC1,A30,C1CN(CCC)CCC1CCN,Is8,NCCCn1nccc1,K50,OC12C[C@H]3C[C@H](C[C@H](C3)C1)C2,Ac36,C(=O)C8CC8,ARCH_HEAD_LINKER_TAILA_TAILB,4CR
